cohort,total_users,total_orders,total_revenue,average_session_duration,average_ticket,orders_per_user,ltv_per_user
c0,26363,34237.0,156075.98,15.88617084056998,4.558693226626165,1.2986761749421538,5.920266282289573
c1,1011,1812.0,10684.87,13.694653187473032,5.896727373068433,1.7922848664688427,10.568615232443127
c2-7,2069,3451.0,16534.65,12.873967414174464,4.79126340191249,1.667955534074432,7.991614306428227
c30+,4902,7163.0,39431.16,11.270651118856282,5.504838754711713,1.4612403100775193,8.04389228886169
c8-30,2178,3752.0,29330.54,12.725918381449027,7.817308102345416,1.7226813590449954,13.466730945821855
